next_O3,next_PM2.5,next_PM10,next_CO,next_SO2,next_NO2
56.8,19.4,39,0.4,1.1,8.4
47,20.5,40.1,0.4,1.4,13.5
47.3,20.5,40.1,0.4,1.1,13.7
49.9,20.3,40.6,0.4,1.1,11.5
51.9,20,40,0.4,1.5,9.3
51.2,19.4,38.6,0.4,1.4,8.8
49.4,19.2,37,0.4,2,9.8
50,19,35.9,0.4,2,9.2
51.5,18.9,36,0.4,1.8,7.7
51.1,18,37.2,0.4,1.7,6.6
48.9,17.9,38.5,0.4,1.8,7.6
46.8,18.3,40.1,0.3,1.9,7.2
42.6,17.9,40.8,0.3,2,8.2
40.3,19.1,41.2,0.3,2.1,9.3
46.1,19.1,42.5,0.3,1.9,7.8
48,19.3,43.9,0.3,2,6.9
49.1,19.9,45.9,0.3,1.8,6.9
53.9,18.7,48.3,0.3,2.3,5.8
56.6,19.3,51.8,0.3,2,5.2
58.7,19.2,53.5,0.3,2.1,5.8
63.7,18.6,55.3,0.3,2.1,6.8
64.7,19.1,56.7,0.3,2.3,7.3
63.2,18.8,56.2,0.3,2.1,6.5
63.6,18.4,57.4,0.3,2,5.8
62,19,58.6,0.3,1.9,7
59.8,19,59.6,0.3,2.3,9.2
56.1,19,60.2,0.3,2.5,10.9
48.6,19.8,60.5,0.3,2.4,15.8
46,19.7,60.2,0.3,2.5,15.3
44,20.5,59.8,0.3,2.2,15
40.7,20.7,59,0.3,1.9,16.7
42.5,20.4,57.3,0.4,1.5,12.3
42.7,20.5,55.5,0.4,1.7,9.8
39.7,20.2,53.5,0.4,0.5,7.9
42,19.8,50.7,0.4,1.1,7.9
42.3,19.4,48.8,0.4,0.5,5.4
42,18.9,46.4,0.3,0.5,4.9
41.4,17.8,44.9,0.3,0.5,5.5
38.9,17.5,43.8,0.3,0.5,5.5
30.7,17.1,41.3,0.3,0.5,10.6
30.1,16.7,39.2,0.3,1,17.8
34.2,16.8,37.5,0.3,1.5,18.6
32.4,15.9,36.8,0.3,2,10.9
32.4,15.5,36.3,0.3,2,10.9
58.2,14.3,34.7,0.3,1.2,9.1
60.7,13.1,32.4,0.3,1.5,12.2
76.7,13.4,32,0.3,1.7,9.7
81.6,13.6,31.7,0.3,1.9,9.6
69.5,14.1,33.2,0.3,2.3,16
71,14.9,34.5,0.3,1.9,16.4
67.1,14.9,34.6,0.3,1.4,17.3
52.4,15.2,34.7,0.4,2.6,28.7
42,16,36.3,0.4,1.6,26.6
39.3,16.8,37.7,0.5,1.5,24.1
30.9,17.8,39,0.5,1.7,28.1
34.7,19.3,40.8,0.5,1.7,23.4
36.9,20.9,41.1,0.5,1.6,19.4
23.4,20.8,41,0.6,1.8,28.2
35.9,23.7,41.2,0.6,2.2,18.6
34,24.3,41.1,0.6,2.4,17.7
31.8,25.3,41.5,0.5,2.8,18.1
30.5,27.7,42.8,0.5,2.6,17.8
33.8,28.1,44.2,0.5,2,14.6
27,28.5,45.5,0.5,2.3,25.7
23.6,29.2,46.3,0.5,2.8,31.5
36.7,30,48,0.5,3.8,23.5
48.5,29,49.9,0.5,2.9,17.7
62.9,28.9,51.2,0.5,2.3,12.3
71.4,27.1,52.8,0.5,1.7,8
72.2,26.3,53.8,0.5,1.4,7.9
69.2,25.1,55,0.5,1.5,9.6
68.7,24.6,55.6,0.5,1.6,9.8
67.2,24.7,56,0.5,1.3,10.9
68.1,24.2,55.6,0.4,1.5,11.6
62.1,23.7,55.3,0.3,1.9,15.1
61.1,24,54.5,0.3,1.6,14.6
64.7,24.8,54.6,0.3,1.3,10.4
55.3,24.7,53.3,0.3,1.8,15.2
59.3,25.4,51.5,0.3,1.4,11.2
41.8,24,48.6,0.4,1.5,20.8
35.2,24,47,0.4,1.3,22.8
26.9,24.2,47.3,0.4,2.9,24.2
33.9,25.9,47.5,0.4,2.6,16.5
37.6,28.3,50.1,0.4,2.8,14.6
31.6,28.5,49.2,0.4,2.2,12.4
24.3,29.1,48.2,0.4,2,14.8
20.3,28.2,47.5,0.4,1.6,14.9
12.8,28,45.9,0.4,2.1,21.5
11.3,28.9,45.2,0.4,4.4,28.7
23.9,28.8,44.1,0.4,3.9,30.1
47.2,29.1,43.5,0.5,2.5,15.8
53.9,27.8,42.6,0.5,2.5,15.6
60.3,26.2,41.9,0.5,2.3,11.9
64.1,25.8,41.1,0.5,1.9,9.4
63.7,24.6,39.6,0.5,1.3,7.2
59.2,24.4,37.7,0.5,1.2,8.5
50.3,23.3,36.2,0.5,1.7,16
50.7,23.3,35.5,0.4,1.5,15.8
39.9,23.5,34.5,0.4,1.4,24
46.2,24.1,34.5,0.4,1.5,18.3
50.1,25.1,34.9,0.5,1.9,14
41.2,26,35.9,0.5,2.3,18.2
34.7,27.1,38.2,0.5,1.5,21.9
31,29.4,41.5,0.5,1.6,17
19.2,32.1,45.1,0.5,1.6,22.2
15.2,33.9,48.6,0.5,1,19.8
9.1,35.6,50,0.5,1.4,20.1
11.8,35.9,51.9,0.5,1.3,15.7
24.6,35.2,50.3,0.5,1.4,8.9
16.5,34.4,48.6,0.5,1.4,12.2
8.7,33.7,47.3,0.5,1.4,17.2
2.5,33.5,46.2,0.5,1.6,24
2.3,33.1,46.2,0.5,2.2,28.6
5.6,33.4,47.5,0.6,2.6,34.8
8,33.2,47.1,0.7,2.1,30.6
10.8,31.8,45.5,0.7,2.4,29.6
14.8,31.1,44.9,0.7,3,28.8
26.6,30.3,43.5,0.8,2.8,22.8
46.5,29.8,43.1,0.8,1.7,13.7
37.3,30,43,0.8,1.8,18.9
34.4,32.8,45.8,0.8,2,22.2
38,37.6,52.2,0.7,2,24.7
36.4,41.7,57.6,0.6,2,10.9
40.4,44,59.6,0.6,1.3,17.8
40.5,41.4,56,0.6,1.4,13.3
31.1,35.3,46.5,0.5,1.3,18.8
31.3,30.2,38.9,0.5,1.3,16.1
23.2,26.8,33.7,0.5,1.1,17.8
31.4,26.2,33.1,0.5,1.2,12.4
30.7,25.6,32,0.5,1.6,9.7
21.8,24.5,31.2,0.5,2.6,19
23.5,24.5,32.8,0.4,2.1,16.1
25.1,23.6,31.8,0.4,2.8,15.4
27.5,23.3,31.6,0.4,2.8,14.7
32.5,22.8,32.1,0.4,2.3,15.4
33.6,23.2,33.4,0.4,2.4,17
30.4,24.4,35.7,0.4,3,22.9
38.4,25.9,39.5,0.4,3.1,21.6
40.4,28.5,43.4,0.5,2.9,21.3
50.5,28.7,44.5,0.5,2.3,17.9
62.9,28.5,45.5,0.5,2.8,18.7
69.4,29.7,46.9,0.5,3,14.9
65.1,31.6,50.7,0.5,3,13
64.7,32.7,56.8,0.5,2.8,13.2
63.5,34.4,61.8,0.5,2.8,14.6
57.6,34.3,65.5,0.5,2.7,16.2
54.1,33.5,65.9,0.5,2.7,14.8
49.6,33.3,64.1,0.5,2.7,15.6
40.9,32.9,61.3,0.4,3,18.9
30.2,32,58.9,0.4,2.6,25.5
33.2,31.7,57.5,0.5,2.9,20.2
14.3,31.5,56.5,0.5,3.1,32.1
7.7,31.4,57,0.6,2.7,31.6
14.8,31.9,57.7,0.6,1.6,23.2
17.4,33.2,58.5,0.6,1.8,19
38.2,33.6,59.5,0.6,2,11.3
31.5,31.5,58.2,0.6,2.2,13.5
38,30.2,58,0.6,1.7,10
18,26.2,56.1,0.6,2.2,18.2
28.4,24.8,56,0.5,2.2,16.3
21.5,24.4,58.1,0.5,2.4,15.7
20.4,25,59.5,0.4,1.6,17.2
29.6,27.2,60.6,0.4,1.4,18.1
45.1,29.1,59.6,0.4,2.4,16.7
55.9,29.8,56.5,0.5,2.8,13.6
59.3,27.5,52,0.5,2.8,11.9
56,23.8,47.4,0.5,3.4,13.7
57.4,21.1,42.5,0.5,2.7,11.7
57.3,20.3,41.6,0.5,2.4,14.6
59.6,20.6,44,0.5,1.3,7.3
57.1,21.5,43.5,0.5,1.4,10.4
54.4,20.6,44.2,0.4,1.3,12.4
51.9,20.5,43.8,0.4,1.3,11.1
48.7,20.4,42.5,0.4,1.3,10.6
41.9,19.7,43.1,0.4,1.4,13.6
31.1,18.6,43,0.4,3,16.8
28.5,19.1,42.9,0.4,2.9,14.8
30,19.5,42.6,0.4,2.6,12.9
29.9,19.9,42.3,0.4,2.7,11
30.2,21,41.8,0.4,2.5,10.5
28.3,21.5,41.6,0.4,4.4,11.6
32.3,21.5,39.3,0.4,4,11.3
35.1,21.8,39,0.4,2.9,9.4
25.4,22.3,39.2,0.4,3.2,15.1
31.5,22.8,38.9,0.4,3.2,13.5
39.1,23.2,39.2,0.4,3.7,10.1
43.9,23.4,39.2,0.4,3.9,9.9
49.6,22.8,38.3,0.4,3.4,7.8
55.9,22,37.4,0.4,3.2,8.3
61,22.5,37.2,0.4,3.1,8.4
65.3,23,37.1,0.4,3,8
65.6,24.3,37.9,0.4,4.1,10.3
59.2,25.5,40,0.4,4.4,11.8
47.1,25.9,41.7,0.4,5.3,15.3
40.7,25.5,42,0.4,4.7,17.2
41.8,24.8,42,0.4,3.1,13.1
37.2,23.6,40.4,0.4,2.6,11
33.8,22.5,38.2,0.4,3.1,13.3
38.8,22,38.5,0.4,2.2,6.2
44.3,22,38.3,0.4,2.1,6.9
41,21.7,38.6,0.4,2.1,6
37.1,20.3,38.3,0.4,2.1,7.1
33.2,21.9,39.6,0.4,2.5,8.8
30.3,23,41,0.3,3,9.3
28.8,23.9,41,0.3,2.2,10.2
32.6,25.8,42.6,0.3,1.9,8.3
32.5,26.5,43.2,0.3,1.8,7.3
26.2,25.6,42,0.3,2.5,14.6
32.5,26,41.4,0.3,2.9,16.4
51.6,26.3,41.6,0.3,2.9,15.1
44,26.7,43.1,0.3,2.8,15.4
45,27.9,44.6,0.3,2.7,14.7
47,27,44.9,0.3,2.6,12.8
49.9,25,45.2,0.3,2.2,11.2
32.4,22.2,43,0.3,2.5,10.5
55.6,20.9,41.9,0.4,2.9,12.1
52.4,20.8,41.9,0.4,3.1,14.9
50.6,21.1,41.8,0.3,3.3,16.8
49.9,22.3,44.5,0.3,3.5,18
50.7,23.2,47.9,0.3,3.4,16.2
48,23.1,53.5,0.3,2.9,14
47.4,23,57.3,0.3,3.1,13.8
45.7,21.5,56.2,0.3,3.1,13.5
47.8,19.6,55.5,0.3,2.9,10.1
43.4,18.3,51.5,0.3,2.3,7.6
45.3,18,46.7,0.3,2.7,8.1
50.2,17.5,43.5,0.3,1.4,4.7
40.4,16.9,40.6,0.2,2.3,7.9
42.3,16.5,39,0.2,2.1,8.2
36.5,15.4,37.7,0.2,2.3,10.5
36.1,15,36.5,0.2,2.2,11
33.8,14.2,35.3,0.2,2.2,14.6
29.5,14.5,34.5,0.2,3.2,19.9
35.2,15.4,35,0.2,2.9,18
44,16.1,36.3,0.2,2.5,13.7
52.3,16.6,37.3,0.2,2.3,14.2
58.8,16.2,39,0.3,2.5,12.4
58.3,15.5,40.1,0.3,2.2,8
53.6,15.5,41,0.3,1.8,6.9
50.9,15.5,42.1,0.3,1.7,8.7
46.7,15.3,42.5,0.3,2.3,10
45.1,16,43.4,0.3,2,10.3
40.9,16,44.2,0.3,1.9,11.8
35,16.1,44.5,0.2,2.2,16.3
29.6,16.8,44,0.2,2.2,17.9
26.9,17,43,0.3,2.2,18.1
18.4,17.2,40.6,0.3,2.6,22.1
17.6,17.7,37,0.3,2.5,20
18.2,17,33.7,0.3,1.6,16.2
5.4,15.9,29.4,0.4,1.3,23.7
3.3,15.6,26,0.4,1.9,26.5
5.4,16.2,26,0.4,2.2,22.9
5,18.1,28.9,0.4,2.1,20.3
7.5,19.2,32.2,0.4,2.2,18.7
6.4,19.8,35,0.4,2,20.7
2.5,21.2,37.2,0.4,1.8,20
3.4,21.8,38.2,0.4,2.1,21.3
19.6,23.8,40.4,0.5,2,25.1
41.8,26.2,44.1,0.4,2,14.3
47.9,26.5,45.9,0.4,1.9,12.4
58.5,27.2,47.5,0.4,1.3,8.3
62.9,26.4,47.4,0.4,1.2,9.8
66.2,24.8,45.8,0.4,1.3,7.3
68.2,24.2,46,0.3,1.1,6.6
68,24,46.7,0.3,1,6.9
67.6,24.9,48.4,0.2,1,7.2
64.4,26.1,50.7,0.2,0.5,10.2
60.2,26.8,52.5,0.2,1,12.1
54,26.6,54.2,0.2,1.5,14.7
43.9,27.2,55.4,0.2,1.9,18.7
28.7,27.1,57.4,0.3,2.2,27.3
29,28.2,59.9,0.3,2.1,25.1
15.9,29.5,62.5,0.4,2.3,10.9
8.8,30.8,65.2,0.4,1.6,31.3
10.7,33.3,66,0.5,2.2,29.9
5.9,35.3,67.4,0.6,2.5,25.9
4.1,35.8,65.3,0.6,1.8,26.5
3.1,36.4,64.9,0.6,1.5,26
8.6,35.3,61.9,0.6,0.5,18.1
6,31.8,56.2,0.6,1.1,21.3
5.3,30.8,52.3,0.6,1.4,22.4
7.2,29.2,48.2,0.6,2.1,28.7
26.6,28.7,48.9,0.6,1.5,20.6
47,28.9,48.9,0.6,0.5,9
60.7,26.8,45.8,0.5,0.5,10.2
64.1,24.8,43.4,0.5,1.6,11.5
64.1,22.2,39.4,0.5,1,8.8
64.4,20.9,36.7,0.5,1.1,7.3
59.5,20.6,36.6,0.4,1.4,9.3
58.9,20.5,35.2,0.4,1.1,9
55.7,21.3,35.3,0.4,0.5,9.6
56.9,22,36,0.4,0.5,11.2
48.8,23,37.9,0.4,0.5,11
44.3,23.3,38.8,0.4,0.5,12.1
38.6,23.4,38.4,0.4,0.5,12.9
32.2,22.4,37.5,0.4,1.2,11.1
21.8,21.4,35.8,0.4,1.7,17.3
15,21.3,34.9,0.4,1.5,22.2
14.4,23.4,36.1,0.4,2.5,20.3
17.9,25.3,37.6,0.4,2.7,14.3
16.9,28,40.5,0.4,2.9,14.1
12.5,29.2,42.5,0.4,2.8,14.6
9.2,28.3,43.7,0.4,2,15.2
5.6,27,44,0.4,2.5,19.3
5.8,25.2,44,0.4,2.7,22.9
15.3,25.9,45.2,0.4,2.9,19.2
23.8,26.5,45,0.4,3.5,13.6
35.2,27.2,44.9,0.4,4.2,15.2
36.9,27.2,44.6,0.4,3.6,9.6
42,26.1,43,0.4,2.4,7.3
31.3,23.8,42.1,0.4,2,9.7
32,22.7,41.3,0.4,1.9,8
31.1,21.6,38.7,0.4,2,7.9
30.8,20,35.5,0.3,2.2,8.4
31.8,18.6,32.1,0.3,2,15
28.6,17.9,30.5,0.3,2,20.2
27,17.8,29.5,0.3,1.9,21.1
21.2,17.7,28.5,0.3,2.5,22.4
31,17.9,29.4,0.3,2.8,17.8
26.5,18.4,29.9,0.4,2.7,15.7
34.6,18.4,28.6,0.4,2.4,10.2
32.4,16.6,27.3,0.4,2.2,8.2
27.5,16.1,24.2,0.4,1.9,10.3
22.2,14.5,21.2,0.4,2,11.6
17,13.2,20.2,0.3,2,13.4
15.2,13.2,19.6,0.3,1.3,10.8
25.8,12.7,18.7,0.3,1.4,11
42.3,13.3,18.2,0.3,1.2,6.4
41.2,13.2,17.7,0.3,1.2,6.4
39.8,11.7,16.8,0.3,1.1,8.2
40.6,9.8,16.7,0.3,1.2,7.6
37.8,7.4,14.7,0.3,1.2,10.7
42.2,6.2,12.4,0.3,1.2,9
42.5,6,12.3,0.3,1.4,8
41.5,5.8,12.2,0.3,1.3,8.5
40.5,5.5,12.7,0.3,1.4,9.9
40.4,5,12.1,0.3,1.3,10.2
39.8,5.2,10.8,0.3,1.2,9.9
40.6,5.2,10.2,0.3,1.1,9.3
40.4,5,9.4,0.3,1.4,9.7
40,5,9.7,0.3,1.5,9
39.5,4.6,10.6,0.3,1.6,8.4
40.2,5.1,10.5,0.3,1.3,7.7
40,5.2,10.4,0.3,1.2,7
40.3,5.4,10.6,0.3,1.2,6.8
41.5,5.5,9.5,0.3,0.5,6.2
38.5,5,8.3,0.3,2.8,7.9
38.9,5.6,8.8,0.3,2.4,7.1
37.3,5.9,9.1,0.3,2.2,6.7
35.9,6.3,10.3,0.3,1.9,6.9
36.3,6.9,11.1,0.2,2,6.2
34.8,6.9,10.7,0.2,2.5,7.3
34.7,6.8,11.1,0.2,2.8,8.7
37.8,7,11.8,0.2,2.6,8.7
37.8,7.3,12.8,0.2,2.2,10.3
37.3,7.7,15.1,0.3,2.3,11.5
40.8,8,17.1,0.3,2.5,10.6
44.3,8.7,19.9,0.3,2.3,9.9
46.3,9.2,21,0.3,2.3,9
46.2,9.3,20.7,0.3,2.2,7.8
46.7,9.2,21.5,0.3,2.5,8.5
45.8,9.1,22.1,0.3,2.2,9.1
41.7,9.1,22.7,0.3,2.6,9.9
38.5,9.7,24.9,0.3,2.4,11.3
33.1,10.4,25.3,0.3,2.9,13.5
26.1,10,25.2,0.3,2.3,15.9
23.6,11,27,0.3,2.8,17.4
23.5,11,27.8,0.3,2.9,16.1
18.9,11,27.7,0.3,4.2,17.7
17.4,11.1,27.1,0.3,4.1,16.3
20.4,10.5,25.9,0.3,2.4,11.9
20.5,10.4,24.5,0.4,1.6,9.9
18.6,10.5,23.9,0.4,2.2,8.8
15.8,10.5,23.7,0.4,2.1,10.3
11.5,10,24.3,0.4,1.9,12.7
8.6,10.3,24.6,0.4,2.3,17.6
3.6,10.4,25.6,0.4,2.3,21.4
11.7,11.7,25,0.4,2.2,21.7
25.6,12.2,25.5,0.5,2,13.8
30.8,12,25.8,0.5,1.7,9.4
32.4,12.3,26,0.5,2,10.9
32.4,10.8,26.8,0.5,2,10.9
31.8,9.5,27,0.5,1.7,9.8
29.4,8.7,25.8,0.4,2.4,13.3
31.4,7.9,25.1,0.4,2.1,12.4
27.8,7.9,23.2,0.4,2.3,16.6
28.8,8,20.2,0.4,2.1,16.9
31.3,7.6,17.3,0.4,1.9,14.4
28.7,7.1,15.2,0.4,2.1,15.1
28.4,6.8,14.8,0.4,2.6,15.3
25,7.2,14.2,0.4,2.3,15.5
22.1,7.8,14.5,0.4,2.6,16.5
25.9,8.3,13.6,0.4,2.6,14.6
37,9,13,0.4,1.9,9.5
36.4,8.8,11.3,0.4,1.4,8.4
34.8,8.2,9.6,0.4,1.3,8.7
32.5,7.5,8.3,0.4,1.5,9.7
28.7,6.4,8.2,0.3,3,11.8
24.5,6.3,9,0.3,2.6,14.9
19.6,6.8,11,0.3,2.7,19.4
18.3,7.2,12.6,0.3,2.2,23
13.5,8.2,13,0.3,2.9,26.3
17.8,8.5,14.5,0.4,3,24
28.2,9,15.1,0.4,1.5,14.3
40.5,9,15.5,0.4,2.1,13.2
39.2,9.3,17.5,0.4,2.6,16.4
43.8,10.4,18.1,0.4,2.6,14.8
44,10.6,19.7,0.4,1.9,14.6
45.5,12.1,22,0.4,1.9,13.3
46.1,13.3,23.9,0.4,1.9,10.8
38.8,13.2,25.3,0.4,1.9,14.1
32,13.3,26.5,0.4,2.7,18.5
34.4,12.8,27,0.4,2,18.3
40.6,12.5,26.5,0.4,1.3,9.6
39.6,12.1,25.7,0.4,0.5,8.3
37.4,11.4,26.2,0.4,0.5,8
35.8,11.7,27,0.4,0.5,7.4
37.5,11.2,26.6,0.4,0.5,6.8
40.2,11,25.8,0.4,1.9,4.5
41.6,10.3,22.5,0.4,2,3.7
42.5,8.3,18.4,0.3,1.9,3.4
40.9,6.5,14.8,0.3,1.9,3.8
34.3,5.1,12.7,0.2,2.1,4.5
24,4.3,11,0.2,2.7,11.5
21.8,4,10,0.2,3.2,16.4
28.5,3.9,9.2,0.3,2.6,14.1
26.3,4,8.5,0.3,2.3,12.6
26.6,4.3,9.1,0.3,2.1,10.4
28.2,4,10.1,0.3,2.2,9.8
32.5,3.9,11.5,0.3,2.1,9.4
38.1,3.9,13.4,0.4,2.6,9.3
44.3,4.9,14.4,0.4,3,9.1
40.1,5.8,16.2,0.4,2.6,11.5
43.3,7.9,17.8,0.4,2.7,13.9
40.3,8.9,18.7,0.4,4.7,16.4
42.3,9.3,19.8,0.4,3.4,15.6
40.4,9.7,20.7,0.4,2.4,16.1
43,10.1,21.5,0.4,2.3,13.2
44.9,10.8,22.1,0.4,3,13.2
46.1,10.8,22.6,0.4,2.9,12.2
47,11,22.6,0.4,2.7,10.7
46,10.6,22.4,0.3,3.3,9.9
47.1,10.5,22,0.3,2.4,7.7
45.5,10,21.1,0.3,2.2,7.2
45,9.8,19.2,0.3,2,7.5
50.4,8.8,18.9,0.3,1.1,5.3
37.8,7.8,18.3,0.2,0.5,6.5
37,7.3,16.9,0.2,1.2,8.9
35.9,6.9,16.9,0.2,1.5,13.2
33.4,7.2,15.4,0.2,1,14.7
28.2,7.3,13.5,0.2,1.4,17.1
31.3,7.2,11.9,0.2,1.6,18.6
32.8,7.2,11.2,0.3,2.2,18.7
39.3,7.2,11.2,0.3,1.8,16
36.3,8.4,13.2,0.3,2.2,18
45.6,10,15.1,0.3,2.8,11.3
46.1,11.1,17.3,0.3,2.5,10.9
49.3,12.4,20.6,0.3,1.9,9.9
51.9,13.9,24,0.4,1.6,9.4
52,15.3,27.8,0.3,1.8,11.8
44.2,17.6,33.3,0.3,2.1,14.2
39.8,19.2,36.2,0.4,2.2,17.9
35.1,21.7,40.7,0.4,2,17.7
35.3,23.7,43.5,0.4,2.2,15.2
36.9,24.6,41.8,0.4,2.6,17.8
40.9,25.9,42,0.4,2.2,13.1
49.1,26,41.7,0.4,2.7,7.9
49.2,24.9,42.8,0.4,2.5,6.6
49.2,24.4,45.6,0.4,2.6,6.2
46.9,23.2,47.3,0.4,2.7,6.3
43.3,22.5,47.3,0.4,2.1,6.4
39.5,22.3,47.1,0.3,2.3,10.8
42.7,21.4,45,0.3,2.3,8.8
40.7,21.2,45.4,0.3,2.3,10.5
40.7,19.9,46.2,0.3,2.9,11.3
36.3,19.8,48.2,0.3,2.6,14.2
47,20.9,49.5,0.3,3.6,11.3
54.5,21.6,49.2,0.4,3.3,8.3
54.3,22,47.2,0.4,2.2,5.6
54.2,21.5,46.2,0.4,2.2,5.5
54.3,21.1,47.3,0.4,1.8,6.7
52.8,20.2,48.2,0.4,1.7,7.8
53,19,47.8,0.3,1.5,8
53,18.7,45.7,0.3,1.5,8.4
51.6,18.2,44.5,0.3,1.6,8.7
47.6,18.4,42.7,0.3,2.1,9.8
48.4,19.1,41.1,0.3,2,9.1
48.7,19.6,39.3,0.3,2.1,8.6
47.1,19.2,36.7,0.3,1.6,8.5
47.1,18.5,34.5,0.3,2.6,8.5
42.9,18.2,34.3,0.3,1.6,6.8
40.3,18.3,33.2,0.3,1.8,8
45.3,17.7,32.6,0.3,1.8,7.2
46.8,17.2,30.7,0.3,2.1,6.8
52.7,16.4,28.3,0.3,1.5,5.5
55.2,14.9,25,0.3,1.5,5.3
50.6,13.6,21.7,0.3,2.2,7.2
50.8,12.8,19.2,0.3,1.7,8.3
53.4,11.3,17.8,0.3,1.3,6.4
53.4,10.9,18.6,0.3,2.2,7
51.7,12,19,0.3,2.9,8.8
53.8,12,19.7,0.3,2.8,7.5
54.6,13.2,21.2,0.3,2.6,6.7
55.3,13.8,22,0.3,2,6.4
57.4,13.3,22.9,0.3,1.7,6.9
57.1,13.8,25.5,0.3,1.9,7
55,14.7,28.3,0.3,2.2,7.4
53.8,16.3,31.2,0.3,1.9,10.2
62.4,18.2,33.6,0.3,1.8,6.9
62.2,19.2,34.6,0.3,1.7,6.3
59.7,19.4,34.3,0.3,1.8,7.6
57.7,19.1,33.8,0.3,1.6,7.6
52.3,17.6,33.8,0.3,1.7,9.7
50.1,17.2,34,0.3,1.8,11.1
53.9,17.2,34.2,0.3,1.6,8.3
59.6,17.6,34.2,0.3,1.4,5.9
61.3,18.8,35,0.3,1.8,4.9
60.2,19,34.9,0.3,1.5,5.5
59.2,18,33.5,0.3,1.6,5.6
59.8,17.2,33.1,0.3,1.7,6
56.9,16.2,32.2,0.3,2.2,7.3
55.7,15.4,31.2,0.3,2,8.8
61.7,15.6,31.5,0.3,1.7,6.9
62.8,16,32.3,0.3,1.7,7.2
62.3,16.6,33.7,0.3,1.7,8.1
60.6,17,36.2,0.3,1.7,9.3
62.5,17.8,38.7,0.3,1.7,9.5
63,18.7,40.9,0.3,1.5,10.2
61.6,20,42.8,0.4,1.5,11.3
54.1,22.4,43.9,0.4,1.4,13.9
48.5,24.2,45.8,0.4,2,11.9
45.3,23.6,45.2,0.4,1.5,10.3
42.1,22.9,42.8,0.3,1.5,12.7
43.9,21,40.5,0.3,2.1,10.8
43.3,18.8,37,0.3,2.4,11
43.3,18.1,34.8,0.3,1.9,10.7
45.4,16,33.1,0.3,2.1,9.7
48.1,14.9,31.5,0.3,1.3,7.6
46.4,14.2,29.5,0.3,2.2,7.1
45.3,13.8,28,0.2,1.8,7.3
45.7,14,27.6,0.2,1.7,7.4
45,14.1,26.9,0.2,2,7.4
44.6,13.5,26.8,0.2,2.2,7.7
42.9,12.5,27.4,0.2,2.5,8.7
37.3,12.5,27.9,0.2,2.6,15.7
39.9,11.8,29.2,0.2,3,15.6
43.1,12.3,30.5,0.2,3.1,14.6
48.4,12.8,32,0.3,2.4,12.5
47.3,13.1,33.5,0.3,2.2,13.5
45.5,13.4,34.6,0.3,2.6,15.3
40.4,13.6,33.7,0.3,2.7,16.2
35.7,13.2,33.7,0.3,2.6,20.3
29.2,14.3,33.3,0.3,1.7,24.1
27.8,14.3,32.7,0.4,1.8,22.1
24.5,14.2,32.5,0.4,2,27.9
25.1,14.6,31,0.4,2.5,26
26.7,14.2,29.4,0.4,3,22.7
21,14.8,27.1,0.4,2.2,25.6
19,15.6,26.9,0.4,2.1,25.1
20.9,15.8,26.5,0.4,1.5,23.4
36.6,15.8,25.3,0.4,1.1,13.9
52.1,14.3,24.7,0.4,1.8,7.1
51.5,13.8,23.3,0.4,1.6,5.2
51.1,13.3,22.1,0.4,1.5,6.1
51.8,11.8,22.1,0.3,1.5,5.4
52.2,12.3,21.1,0.3,1.4,4.8
51.8,11.7,20.5,0.3,1.2,10.9
47.5,10.8,20,0.2,1.4,7.9
41.4,10.8,19.3,0.2,1.6,12.4
36.9,10,19.2,0.2,1.8,17.2
43.4,10.2,19.8,0.2,1.5,13.5
47.2,10.7,19,0.2,1.7,11.1
47.9,10.8,18.1,0.2,2.7,10.2
48.6,10.7,17,0.2,2.9,10
50.7,9.8,16.5,0.3,2.2,8.7
52.4,9.8,17.1,0.3,1.4,7.8
49.6,9.6,17.9,0.3,2.3,9.8
46.5,10,20.3,0.3,1.8,12.1
44.3,10.7,22.4,0.2,1.9,12.7
39.9,11.2,23.3,0.2,2.2,16.1
39.6,11.8,24.1,0.3,2.8,14.6
26.4,11.8,23.7,0.3,4.1,23.5
22.5,11.5,23.3,0.3,3.4,24.3
28,11.6,24.2,0.3,2.8,21.5
33.8,12,24.5,0.3,2.4,15.9
32.7,12.4,26.5,0.3,1.5,17.3
38.8,13.7,27.3,0.4,0.5,11.8
36.4,14.1,27.5,0.4,0.5,13
37.8,14.8,27.5,0.4,1.3,13.8
39.8,15.6,27.3,0.3,1.3,11.1
39.5,15,26.9,0.3,1.2,12.1
40.2,15.4,26.5,0.3,1.1,14
41.7,14.4,26.9,0.3,1,14.2
46.6,13.8,26.5,0.3,1,11
50.9,13.2,26.8,0.3,1.1,9
51.2,13.2,27.8,0.3,1.2,9.7
49.4,13.2,28.7,0.3,1.5,11
46.6,13.4,31.2,0.3,2.5,13.4
48.8,13.8,32.2,0.3,2.5,12.9
48,13.7,33,0.3,2.7,13.1
45.9,13.8,34.5,0.3,2.6,14.4
40,14,34.6,0.3,2.8,18.8
35.5,14.2,35.4,0.3,2.9,22.6
30.7,14.2,36,0.3,2.5,25.3
27.1,15,36.5,0.4,2.7,26
30.4,15.5,35.9,0.4,2.2,22.7
30.1,15.6,36.3,0.4,2,21
26.2,15.6,35.8,0.4,2.6,23.9
26.7,14.7,35,0.4,2.9,23.1
27.2,14.5,34.9,0.5,1.7,21.7
