next_O3,next_PM2.5,next_PM10,next_CO,next_SO2,next_NO2
31.9,27.9,49.5,0.4,1.2,17.1
19.9,27.9,49.5,0.4,1.6,26.1
11.9,27.8,50,0.4,1.9,30.9
3.8,29.8,53.1,0.5,2.3,33
2.6,30.5,55.7,0.5,2.8,29.2
2.6,30.8,55.5,0.6,3.6,31.4
2.7,31.2,55.5,0.7,1.7,31.2
3,30.7,56.1,0.8,0.5,22.9
5,31.6,57.6,0.8,1.7,22.4
1.9,31.5,60.2,0.8,3.6,25
2.7,32.9,62.3,0.8,1.6,21
23.1,34.5,64,0.7,2,9.3
28.2,32.8,58.8,0.7,2,8.7
20.2,30.3,52.6,0.6,2,14.4
11.8,26.2,44.6,0.5,2,18.6
14.7,24,38.8,0.4,2,16.8
22.2,24.4,38.9,0.4,2,14.1
32.4,24.8,38.9,0.4,2,10.9
32.4,23.8,41.2,0.4,2,10.9
55.5,24.9,42,0.4,2,10.9
52.1,24,40.8,0.4,4.2,21.9
61.9,24.2,40.5,0.4,3.8,20.6
56.6,26,40.3,0.4,2.1,16.3
31.9,23.2,38,0.4,8.5,38.1
10,26.3,43,0.4,9.1,57.1
3.7,30.1,49.5,0.6,6.1,58.2
2.5,32.6,55.2,0.8,4.3,52.3
2.5,37.5,61.3,1,3.5,46.7
4.3,36.8,59.3,1.1,3,34.5
5.4,33.6,55.1,1.2,2.7,33
7.8,31.9,49.4,1.2,2.7,30.6
20.2,28.1,43.4,1.3,1.6,12.3
21.1,26,39.6,1.2,1.2,10.2
18.5,24,36.1,1.1,1,10.1
10.2,21.2,32.1,0.8,2.8,19.8
19.7,19.9,30.3,0.6,3.1,22.6
25.5,19.2,30.8,0.5,1.4,15.5
26.8,19.4,32.3,0.4,1.3,13.9
27.7,19.6,34.5,0.4,1.4,15.6
25.6,19.4,35.5,0.3,1.4,10.9
29.6,19.2,36.8,0.4,1.3,10.9
36.9,18.2,39.2,0.4,1.2,10.9
45.5,17.8,41.7,0.5,1.1,13.5
53,17.2,44.3,0.5,0.5,11.9
56.6,17.4,45.1,0.6,1,12.4
54.3,17.2,45.2,0.6,1.2,13.8
49.9,17.5,45.2,0.6,1.2,15
46.2,17.8,44.9,0.7,1.2,17.5
45.6,16.8,43.6,0.7,1.1,16.8
43.4,17,41.7,0.7,1.1,15.7
42.1,16.8,39.6,0.7,1.3,14.8
38.7,16.3,38.4,0.7,1.2,15.7
38.9,16.2,37.3,0.7,1.4,13.3
40.4,16.3,36.5,0.6,1.2,10.9
38.7,15.4,35.6,0.6,1.9,8.8
37.1,15.3,34.3,0.6,2.9,8.2
35.1,14.8,33.8,0.5,2.7,8.1
33.5,14.8,32.6,0.5,2.8,8.5
31.1,15.3,30.9,0.5,2.7,9.3
27.5,15.4,29.8,0.5,2.5,12.6
17.3,15.4,29.1,0.5,2.7,20.8
19.4,15.2,29.3,0.5,2.5,18.8
21.5,15.3,30.2,0.5,3,19
29.3,15.7,32,0.6,2.5,14.1
37.1,16,33.2,0.6,2.8,11.8
47.7,15.9,33.3,0.6,2.3,11.6
55.6,15.8,33.2,0.6,2.8,12.9
63.3,15.4,32,0.6,2.7,12.1
50.8,16,32.4,0.6,2.5,11.2
49.9,17.1,35.5,0.5,3.3,14.7
40.2,17.8,37.3,0.5,3.1,15.6
34.7,19.2,40.3,0.5,2.9,14.8
29.9,19.8,41.3,0.4,3.6,19.1
22.1,20.4,40.8,0.4,4.3,24.3
6.6,21.5,41.3,0.4,4.1,36.8
10.8,21.9,41.3,0.5,3.2,28
11.4,21.9,40.2,0.5,3.3,24.9
12.9,21.8,38.8,0.5,3.4,25.2
20.7,21.2,37.2,0.5,1.4,14
15.4,20.6,33.8,0.5,2.2,17.5
11.5,18.7,31.5,0.5,2.7,19.8
14.1,18.1,29.2,0.5,3,19.1
21.1,17.3,28.4,0.5,1.5,10.7
16.5,16.4,27.1,0.4,1.5,10.2
4.4,17,25.4,0.4,1.9,21
2.9,16,24.2,0.4,2.7,24.2
4.2,15.7,23.7,0.5,3.6,29.9
10.9,16.1,26.3,0.6,3.5,28
20.6,16.4,30,0.7,3.1,22.3
30.4,16,31.4,0.7,3.4,24.4
39.3,16.7,32.8,0.7,4.3,21.9
55.4,17.8,34.2,0.7,2.2,8.2
55,17.2,34,0.7,1.7,7
52.6,17.6,35.2,0.7,1.8,7.6
43.6,16.7,36.2,0.6,1.5,10
36.5,16.3,36.2,0.5,2.1,13.7
37.2,17.5,38.4,0.4,1.7,12.6
27.6,18,39.6,0.4,2,18.6
24,19.1,39.8,0.4,2.5,10.9
8.7,19.7,39.8,0.4,2.7,32.1
6.9,20.2,39.4,0.5,2.6,34.5
7.3,21.5,40,0.6,2.3,25.8
6.3,21.8,41,0.6,1.8,23.6
14.4,22.4,40.1,0.7,2.3,20.1
34.1,23,41.1,0.7,2,10.9
30.4,22.5,40,0.6,1.9,10.9
13.3,22.2,39.5,0.6,2.2,18.4
3.7,21.5,39.8,0.5,2.6,22
4.8,21.4,41.2,0.5,2.9,21.6
19.5,22.2,45,0.4,2.7,15
25.9,22.7,46.7,0.4,2.1,12
27.7,21.9,46.8,0.3,2.1,13.9
32.4,22.2,46,0.3,1.8,10.4
43.6,21.4,43.2,0.3,1.5,7.2
49,20.5,41,0.3,1.4,6.6
50.6,20.2,39.1,0.3,1.3,7.6
46.5,19.9,37,0.3,1.6,9.4
46.3,19.9,36.9,0.3,1.5,9.8
45.4,20.7,37,0.3,1.4,9.1
47,21.2,37.1,0.3,1.4,7.9
33.6,21.4,36.2,0.3,1.6,11.6
27.3,20.5,34,0.3,1.8,15.3
25.6,19.2,31.6,0.3,2,15
26.4,17.7,29.9,0.3,1.9,16.3
33.4,15.8,27.7,0.3,1.6,10.1
32.6,14.7,27,0.3,1.4,10.1
33.1,13.5,25.6,0.3,2,10.9
34.6,12.6,25.5,0.3,1.7,7.3
34.3,11.9,25.3,0.3,1.7,6.1
30.2,11.3,23.4,0.3,1.8,6.6
28.4,10,21.5,0.3,1.4,5.9
20.9,8.3,17.9,0.3,1.7,7.3
21.6,6.2,14.3,0.3,1.9,8.4
24.3,5,12,0.3,1.9,7.5
22,4,11.2,0.3,2.3,9.4
23.2,3.4,11.2,0.3,3.4,9
23.3,3.3,11.8,0.3,3.4,9.2
23.9,3.7,11,0.3,2.7,9.8
26.8,3.9,10.9,0.4,2.3,9.5
25.5,4.5,11,0.4,2,10.2
25.8,5.1,12.2,0.4,1.9,10.7
27.5,5.5,15.5,0.4,1.8,10.4
30.4,6.2,17.9,0.5,2,10.3
29.8,7,20.8,0.5,2.7,11.4
24.3,8.3,22,0.5,4.2,16.1
29.1,10.3,23.1,0.5,4.4,15
32.6,12.1,24.3,0.5,4.4,12.8
34.1,14.5,26.1,0.5,4.5,10.9
36,16.5,28.5,0.5,4.2,8.8
37.8,17.7,31,0.5,3.8,8
36.7,19.2,33.8,0.5,1.2,7.7
36.5,19.7,35,0.5,1,8.5
39.7,19.8,35.3,0.5,0.5,7.4
42.6,19.8,34.7,0.5,0.5,5.6
43.8,19.5,33.5,0.4,0.5,5.1
43.1,19.5,33.7,0.4,0.5,5.7
39.4,19.4,33.2,0.4,0.5,7
30.4,18.6,32.7,0.3,0.5,13.1
28.5,18.3,31.1,0.3,1.4,16.7
32.2,17.5,28.8,0.3,2,14.8
32.4,16.4,28,0.3,2,15.9
33.5,16.2,27.3,0.3,2,15.4
38.4,15.4,27.4,0.3,2,11.6
33.4,14.5,27,0.3,2,16.4
33.5,14.2,26.3,0.4,2,17.2
35.1,14.5,26.4,0.4,2,14.8
36.9,15.8,27.5,0.4,2,11.2
34.8,16.8,29.8,0.4,2,12.5
33.1,17.4,32.1,0.4,2,13.7
31,17.6,35,0.4,2,14.4
33.1,16.8,35.5,0.4,2,13.7
39,17.2,35.6,0.4,2,10.3
40.1,17.4,35.2,0.4,2,10
37.4,17.3,34.6,0.4,2,9.5
25.8,17,35.5,0.3,1.2,12.7
19.6,17.2,34.8,0.3,2.4,16.1
27.9,16.9,35,0.3,2.6,11.4
18.4,16.3,35.1,0.3,2.2,12.8
12.5,17.1,33.4,0.3,2.1,14.4
32.4,16.6,31.9,0.3,2.5,14
22.7,16,30.6,0.3,2.7,17.3
25.8,15,31.2,0.3,2.4,17.8
21.6,13.3,30.7,0.3,3,22
29.7,13,31.5,0.3,2.9,15.8
31.3,14.2,32.9,0.3,2.5,14.8
37.8,14.8,32.4,0.3,2.9,12.5
45,15.4,33,0.3,2.6,8.9
45.6,14.9,33,0.3,2.6,7.9
45.6,13.5,31.8,0.3,2.2,9.2
44.8,13,30.2,0.3,2.4,10.4
42.3,11.9,29.6,0.3,2.2,11.2
38.3,12.5,30.9,0.3,2.3,13.3
36.8,14.4,33,0.3,2.3,13.9
42.8,17,36.1,0.3,2.2,10
40,20.2,39.7,0.3,2.1,10.7
35.2,22.8,42.5,0.3,2.3,11.8
35.2,24.8,44.7,0.3,2.3,12.4
37.1,26,45.2,0.4,2.3,10
38,26.9,45.9,0.4,2.4,10
39.8,27.5,45.5,0.4,1.7,7.8
41.1,27.9,45.1,0.4,1.7,7.2
39.3,27.5,44.7,0.4,1.6,7
38.9,26.7,42.8,0.4,1.7,7.8
32.4,24.6,40.9,0.4,1.9,9.1
31.2,23.3,39.4,0.4,1.5,12.6
21.9,22,37.4,0.4,1.9,23.6
22,22.3,37,0.5,1.7,23.2
27.2,22.5,36.8,0.5,1.6,20.4
38.8,21.2,35.4,0.5,1.3,13.4
38.7,20,33.3,0.5,1.3,11.8
39.7,17.7,30.7,0.5,1.4,12.8
49.2,15.8,27.8,0.5,1.4,12
45.3,14,25.8,0.5,1.8,12.7
38.9,14.5,26,0.5,1.7,13.4
41.6,15.5,28.1,0.4,1.3,9.8
42.2,16.2,29,0.4,1.1,9.1
42.1,17.1,29.4,0.4,1.2,9.4
42.2,18,30,0.4,0.5,9.8
39.3,18,30.3,0.4,1.3,10.5
31.4,18.3,29.2,0.4,1,14.6
25.3,18.5,27.9,0.4,1.2,15.4
22.4,17.7,26.1,0.4,1.7,15.9
25.4,17.5,24.1,0.4,1.6,13.3
29.8,17.9,23.2,0.4,2.2,13
32.4,17.4,23.4,0.4,1.8,11.5
34.5,16.6,22.8,0.4,1.6,9.8
40.4,15.4,22.5,0.4,1.3,5.7
26.3,14.5,23.6,0.4,1.6,10
18.1,14,24,0.4,1.4,13
11.1,13.7,23.9,0.4,1.9,18.6
14.3,13.2,23.5,0.4,1.9,22.8
28.5,13,23.5,0.4,1.8,15.2
37.1,12.5,23.7,0.4,2.1,14.1
44.5,12.9,24.6,0.4,1.7,9.5
49.3,12.8,24.5,0.4,1.5,8.4
53.9,12,24.2,0.4,1.6,8.2
57,11.8,23.5,0.4,1.2,7.6
53.7,11.6,22.9,0.4,1.2,9.5
51.4,11.8,22.7,0.4,1.3,10.7
48.5,12.3,24,0.4,1.3,9.9
39,12.4,25.1,0.4,1.5,16.4
30.7,13.3,26.2,0.4,1.8,20
33.3,13.5,28.2,0.4,2,17
34.9,14.1,28,0.4,2,14.4
39.4,13.9,27.2,0.4,2.1,11.3
37.9,12.9,26.5,0.4,1.8,11.2
36.3,12.3,24.2,0.4,2.2,10
34.8,12.6,23.6,0.4,1.7,7.8
31.2,12.4,23,0.4,1.7,7.6
